5 Minutes,Lane 1 Speed (mph),Lane 1 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Speed (mph),Flow (Veh/5 Minutes),# Lane Points,% Observed
9/13/2022 0:00,73.80,9,70.10,13,66.50,11,62.00,9,68.20,42,4,0.00
9/13/2022 0:05,73.70,9,70.00,12,66.40,11,61.90,9,68.10,41,4,0.00
9/13/2022 0:10,73.60,8,69.90,12,66.30,11,61.80,9,67.80,40,4,0.00
9/13/2022 0:15,73.50,8,69.80,11,66.20,10,61.70,8,67.90,37,4,0.00
9/13/2022 0:20,73.50,7,69.80,11,66.20,9,61.70,8,67.80,35,4,0.00
9/13/2022 0:25,73.40,7,69.70,10,66.10,9,61.60,7,67.80,33,4,0.00
9/13/2022 0:30,73.30,6,69.60,9,66.00,8,61.50,7,67.50,30,4,0.00
9/13/2022 0:35,73.30,6,69.60,8,66.00,8,61.50,6,67.60,28,4,0.00
9/13/2022 0:40,73.30,6,69.60,8,66.00,7,61.50,6,67.70,27,4,0.00
9/13/2022 0:45,73.30,5,69.60,8,66.00,7,61.50,6,67.50,26,4,0.00
9/13/2022 0:50,73.30,5,69.60,7,66.00,6,61.50,5,67.70,23,4,0.00
9/13/2022 0:55,73.30,5,69.60,7,66.00,6,61.50,5,67.70,23,4,0.00
9/13/2022 1:00,73.30,4,69.60,6,66.00,6,61.50,5,67.30,21,4,0.00
9/13/2022 1:05,73.30,4,69.60,6,66.00,6,61.50,5,67.30,21,4,0.00
9/13/2022 1:10,73.30,4,69.60,6,66.00,5,61.50,4,67.70,19,4,0.00
9/13/2022 1:15,73.30,4,69.60,6,66.00,5,61.50,4,67.70,19,4,0.00
9/13/2022 1:20,73.30,4,69.60,5,66.00,5,61.50,4,67.60,18,4,0.00
9/13/2022 1:25,73.30,4,69.60,5,66.00,5,61.50,4,67.60,18,4,0.00
9/13/2022 1:30,73.30,4,69.60,5,66.00,5,61.50,4,67.60,18,4,0.00
9/13/2022 1:35,73.20,4,69.50,5,65.90,5,61.40,4,67.50,18,4,0.00
9/13/2022 1:40,73.20,4,69.50,5,65.90,5,61.40,4,67.50,18,4,0.00
9/13/2022 1:45,73.20,3,69.50,5,65.90,4,61.40,4,67.30,16,4,0.00
9/13/2022 1:50,73.20,3,69.50,5,65.90,4,61.40,4,67.30,16,4,0.00
9/13/2022 1:55,73.10,3,69.40,5,65.80,4,61.30,3,67.60,15,4,0.00
9/13/2022 2:00,73.20,3,69.50,5,65.90,4,61.40,3,67.70,15,4,0.00
9/13/2022 2:05,73.20,3,69.50,5,65.90,4,61.40,3,67.70,15,4,0.00
9/13/2022 2:10,73.20,3,69.50,5,65.90,4,61.40,3,67.70,15,4,0.00
9/13/2022 2:15,73.20,3,69.50,5,65.90,4,61.40,3,67.70,15,4,0.00
9/13/2022 2:20,73.20,3,69.50,5,65.90,4,61.40,3,67.70,15,4,0.00
9/13/2022 2:25,73.20,3,69.50,4,65.90,4,61.40,3,67.50,14,4,0.00
9/13/2022 2:30,73.10,3,69.40,4,65.80,4,61.30,3,67.40,14,4,0.00
9/13/2022 2:35,73.10,3,69.40,5,65.80,4,61.30,3,67.60,15,4,0.00
9/13/2022 2:40,73.20,3,69.50,5,65.90,4,61.40,3,67.70,15,4,0.00
9/13/2022 2:45,73.10,3,69.40,5,65.80,4,61.30,3,67.60,15,4,0.00
9/13/2022 2:50,73.10,3,69.40,5,65.80,4,61.30,3,67.60,15,4,0.00
9/13/2022 2:55,73.10,3,69.40,4,65.80,4,61.30,3,67.40,14,4,0.00
9/13/2022 3:00,73.10,3,69.40,4,65.80,4,61.30,3,67.40,14,4,0.00
9/13/2022 3:05,73.10,3,69.40,4,65.80,4,61.30,3,67.40,14,4,0.00
9/13/2022 3:10,73.10,3,69.40,4,65.80,4,61.30,3,67.40,14,4,0.00
9/13/2022 3:15,73.10,3,69.40,5,65.80,4,61.30,3,67.60,15,4,0.00
9/13/2022 3:20,73.10,3,69.40,5,65.80,4,61.30,4,67.20,16,4,0.00
9/13/2022 3:25,73.10,3,69.40,5,65.80,4,61.30,4,67.20,16,4,0.00
9/13/2022 3:30,73.10,4,69.40,5,65.80,5,61.30,4,67.40,18,4,0.00
9/13/2022 3:35,73.10,4,69.40,6,65.80,5,61.30,4,67.50,19,4,0.00
9/13/2022 3:40,73.10,5,69.40,7,65.80,6,61.30,5,67.50,23,4,0.00
9/13/2022 3:45,73.20,5,69.50,7,65.90,6,61.40,5,67.60,23,4,0.00
9/13/2022 3:50,73.20,5,69.50,7,65.90,6,61.40,5,67.60,23,4,0.00
9/13/2022 3:55,73.20,5,69.50,7,65.90,6,61.40,5,67.60,23,4,0.00
9/13/2022 4:00,73.00,5,69.30,7,65.70,6,61.20,5,67.40,23,4,0.00
9/13/2022 4:05,73.00,5,69.30,8,65.70,7,61.20,5,67.40,25,4,0.00
9/13/2022 4:10,73.10,6,69.40,8,65.80,7,61.30,6,67.50,27,4,0.00
9/13/2022 4:15,73.10,6,69.40,9,65.80,8,61.30,7,67.30,30,4,0.00
9/13/2022 4:20,73.10,7,69.40,10,65.80,9,61.30,7,67.50,33,4,0.00
9/13/2022 4:25,73.20,7,69.50,11,65.90,9,61.40,8,67.50,35,4,0.00
9/13/2022 4:30,73.20,8,69.50,12,65.90,10,61.40,9,67.50,39,4,0.00
9/13/2022 4:35,73.30,9,69.60,13,66.00,12,61.50,9,67.70,43,4,0.00
9/13/2022 4:40,73.40,10,69.70,15,66.10,13,61.60,11,67.70,49,4,0.00
9/13/2022 4:45,73.50,11,69.80,16,66.20,14,61.70,12,67.80,53,4,0.00
9/13/2022 4:50,73.50,12,69.80,17,66.20,15,61.70,12,67.90,56,4,0.00
9/13/2022 4:55,73.40,12,69.70,17,66.10,15,61.60,13,67.70,57,4,0.00
9/13/2022 5:00,73.30,12,69.60,18,66.00,16,61.50,13,67.60,59,4,0.00
9/13/2022 5:05,73.30,13,69.60,19,66.00,17,61.50,14,67.60,63,4,0.00
9/13/2022 5:10,73.20,15,69.50,22,65.90,19,61.40,16,67.50,72,4,0.00
9/13/2022 5:15,73.20,16,69.50,23,65.90,21,61.40,17,67.50,77,4,0.00
9/13/2022 5:20,73.20,18,69.50,25,65.90,23,61.40,18,67.60,84,4,0.00
9/13/2022 5:25,73.20,18,69.50,27,65.90,24,61.40,19,67.50,88,4,0.00
9/13/2022 5:30,73.20,20,69.50,29,65.90,26,61.40,21,67.50,96,4,0.00
9/13/2022 5:35,73.30,22,69.60,32,66.00,28,61.50,23,67.60,105,4,0.00
9/13/2022 5:40,73.30,24,69.60,34,66.00,30,61.50,25,67.60,113,4,0.00
9/13/2022 5:45,73.50,25,69.80,36,66.20,32,61.70,26,67.80,119,4,0.00
9/13/2022 5:50,73.50,25,69.80,37,66.20,32,61.70,27,67.80,121,4,0.00
9/13/2022 5:55,73.50,25,69.80,36,66.20,32,61.70,26,67.80,119,4,0.00
9/13/2022 6:00,72.40,25,68.70,36,65.30,32,60.80,26,66.80,119,4,0.00
9/13/2022 6:05,72.00,26,68.30,38,64.90,33,60.40,27,66.50,124,4,0.00
9/13/2022 6:10,71.90,28,68.20,41,64.80,36,60.30,29,66.40,134,4,0.00
9/13/2022 6:15,71.80,30,68.10,43,64.70,38,60.20,31,66.20,142,4,0.00
9/13/2022 6:20,71.70,31,68.00,45,64.60,40,60.20,33,66.10,149,4,0.00
9/13/2022 6:25,71.70,33,68.00,48,64.60,42,60.20,34,66.20,157,4,0.00
9/13/2022 6:30,71.60,35,67.90,50,64.50,44,60.10,36,66.10,165,4,0.00
9/13/2022 6:35,71.60,37,67.90,53,64.50,47,60.10,39,66.00,176,4,0.00
9/13/2022 6:40,71.70,40,68.00,57,64.60,51,60.20,41,66.20,189,4,0.00
9/13/2022 6:45,71.80,41,68.10,59,64.70,52,60.20,43,66.20,195,4,0.00
9/13/2022 6:50,71.90,41,68.20,59,64.80,52,60.30,43,66.30,195,4,0.00
9/13/2022 6:55,71.90,40,68.20,57,64.80,51,60.30,41,66.40,189,4,0.00
9/13/2022 7:00,71.20,39,67.60,56,64.20,50,59.80,41,65.70,186,4,0.00
9/13/2022 7:05,70.80,40,67.20,58,63.80,51,59.40,42,65.30,191,4,0.00
9/13/2022 7:10,70.60,43,67.00,62,63.60,55,59.20,45,65.10,205,4,0.00
9/13/2022 7:15,70.50,45,66.90,65,63.50,57,59.20,47,65.00,214,4,0.00
9/13/2022 7:20,70.40,46,66.80,67,63.40,59,59.10,49,64.90,221,4,0.00
9/13/2022 7:25,70.20,47,66.70,69,63.30,61,59.00,50,64.80,227,4,0.00
9/13/2022 7:30,70.20,47,66.70,68,63.30,60,59.00,49,64.80,224,4,0.00
9/13/2022 7:35,70.20,49,66.70,71,63.30,62,59.00,51,64.80,233,4,0.00
9/13/2022 7:40,70.10,50,66.60,73,63.20,65,58.90,53,64.70,241,4,0.00
9/13/2022 7:45,70.10,52,66.60,75,63.20,66,58.90,54,64.70,247,4,0.00
9/13/2022 7:50,70.10,52,66.60,76,63.20,67,58.90,55,64.70,250,4,0.00
9/13/2022 7:55,70.10,50,66.60,73,63.20,65,58.90,53,64.70,241,4,0.00
9/13/2022 8:00,70.00,48,66.50,70,63.10,62,58.80,51,64.60,231,4,0.00
9/13/2022 8:05,69.80,49,66.30,70,62.90,62,58.60,51,64.40,232,4,0.00
9/13/2022 8:10,69.70,48,66.20,70,62.80,62,58.50,51,64.30,231,4,0.00
9/13/2022 8:15,69.60,49,66.10,72,62.70,63,58.40,52,64.20,236,4,0.00
9/13/2022 8:20,69.40,49,65.90,72,62.50,63,58.20,52,64.00,236,4,0.00
9/13/2022 8:25,69.30,49,65.80,70,62.40,62,58.20,51,63.90,232,4,0.00
9/13/2022 8:30,69.10,47,65.50,69,62.20,61,58.00,50,63.70,227,4,0.00
9/13/2022 8:35,68.80,48,65.30,69,62.00,61,57.80,50,63.50,228,4,0.00
9/13/2022 8:40,68.70,48,65.20,70,61.90,62,57.70,50,63.40,230,4,0.00
9/13/2022 8:45,68.70,48,65.20,69,61.90,61,57.70,50,63.40,228,4,0.00
9/13/2022 8:50,68.70,47,65.20,69,61.90,61,57.70,50,63.40,227,4,0.00
9/13/2022 8:55,68.60,46,65.10,67,61.80,59,57.60,48,63.30,220,4,0.00
9/13/2022 9:00,68.90,45,65.40,65,62.10,57,57.90,47,63.60,214,4,0.00
9/13/2022 9:05,68.80,44,65.30,64,62.00,56,57.80,46,63.50,210,4,0.00
9/13/2022 9:10,68.70,45,65.20,65,61.90,57,57.70,47,63.40,214,4,0.00
9/13/2022 9:15,68.70,45,65.20,65,61.90,57,57.70,47,63.40,214,4,0.00
9/13/2022 9:20,68.70,45,65.20,65,61.90,58,57.70,47,63.40,215,4,0.00
9/13/2022 9:25,68.60,45,65.10,65,61.80,58,57.60,47,63.30,215,4,0.00
9/13/2022 9:30,68.50,45,65.00,65,61.70,57,57.50,47,63.20,214,4,0.00
9/13/2022 9:35,68.60,45,65.10,65,61.80,58,57.60,47,63.30,215,4,0.00
9/13/2022 9:40,68.60,45,65.10,66,61.80,58,57.60,47,63.30,216,4,0.00
9/13/2022 9:45,68.60,46,65.10,66,61.80,59,57.60,48,63.30,219,4,0.00
9/13/2022 9:50,68.70,45,65.20,66,61.90,58,57.70,48,63.40,217,4,0.00
9/13/2022 9:55,68.70,44,65.20,64,61.90,57,57.70,46,63.40,211,4,0.00
9/13/2022 10:00,68.80,43,65.30,63,62.00,55,57.80,45,63.50,206,4,0.00
9/13/2022 10:05,68.80,43,65.30,63,62.00,55,57.80,45,63.50,206,4,0.00
9/13/2022 10:10,68.90,44,65.40,63,62.10,56,57.90,46,63.60,209,4,0.00
9/13/2022 10:15,69.10,44,65.50,64,62.20,57,58.00,46,63.70,211,4,0.00
9/13/2022 10:20,69.10,44,65.50,64,62.20,56,58.00,46,63.70,210,4,0.00
9/13/2022 10:25,69.30,44,65.80,63,62.40,56,58.20,46,63.90,209,4,0.00
9/13/2022 10:30,69.30,43,65.80,63,62.40,56,58.20,46,63.90,208,4,0.00
9/13/2022 10:35,69.30,45,65.80,65,62.40,57,58.20,47,63.90,214,4,0.00
9/13/2022 10:40,69.40,45,65.90,65,62.50,57,58.20,47,64.00,214,4,0.00
9/13/2022 10:45,69.40,45,65.90,65,62.50,58,58.20,47,64.00,215,4,0.00
9/13/2022 10:50,69.40,45,65.90,65,62.50,57,58.20,47,64.00,214,4,0.00
9/13/2022 10:55,69.30,44,65.80,63,62.40,56,58.20,46,63.90,209,4,0.00
9/13/2022 11:00,69.40,43,65.90,62,62.50,55,58.20,45,64.00,205,4,0.00
9/13/2022 11:05,69.30,43,65.80,62,62.40,55,58.20,45,63.90,205,4,0.00
9/13/2022 11:10,69.30,44,65.80,64,62.40,56,58.20,46,63.90,210,4,0.00
9/13/2022 11:15,69.30,44,65.80,64,62.40,57,58.20,47,63.90,212,4,0.00
9/13/2022 11:20,69.50,44,66.00,64,62.60,57,58.30,47,64.10,212,4,0.00
9/13/2022 11:25,69.40,44,65.90,64,62.50,57,58.20,47,64.00,212,4,0.00
9/13/2022 11:30,69.40,45,65.90,65,62.50,57,58.20,47,64.00,214,4,0.00
9/13/2022 11:35,69.40,45,65.90,66,62.50,58,58.20,47,64.00,216,4,0.00
9/13/2022 11:40,69.40,46,65.90,67,62.50,59,58.20,48,64.00,220,4,0.00
9/13/2022 11:45,69.40,45,65.90,66,62.50,58,58.20,47,64.00,216,4,0.00
9/13/2022 11:50,69.40,45,65.90,66,62.50,58,58.20,48,64.00,217,4,0.00
9/13/2022 11:55,69.40,45,65.90,65,62.50,58,58.20,47,64.00,215,4,0.00
9/13/2022 12:00,69.40,45,65.90,65,62.50,57,58.20,47,64.00,214,4,0.00
9/13/2022 12:05,69.40,45,65.90,65,62.50,58,58.20,47,64.00,215,4,0.00
9/13/2022 12:10,69.30,46,65.80,67,62.40,59,58.20,49,63.90,221,4,0.00
9/13/2022 12:15,69.30,47,65.80,68,62.40,60,58.20,49,63.90,224,4,0.00
9/13/2022 12:20,69.20,47,65.70,68,62.30,60,58.10,49,63.80,224,4,0.00
9/13/2022 12:25,69.20,46,65.70,67,62.30,59,58.10,49,63.80,221,4,0.00
9/13/2022 12:30,69.40,46,65.90,67,62.50,59,58.20,49,64.00,221,4,0.00
9/13/2022 12:35,69.50,47,66.00,68,62.60,60,58.30,49,64.10,224,4,0.00
9/13/2022 12:40,69.50,48,66.00,69,62.60,61,58.30,50,64.10,228,4,0.00
9/13/2022 12:45,69.50,48,66.00,69,62.60,61,58.30,50,64.10,228,4,0.00
9/13/2022 12:50,69.50,47,66.00,68,62.60,60,58.30,49,64.10,224,4,0.00
9/13/2022 12:55,69.60,46,66.10,67,62.70,59,58.40,48,64.20,220,4,0.00
9/13/2022 13:00,69.40,46,65.90,66,62.50,59,58.20,48,64.00,219,4,0.00
9/13/2022 13:05,69.30,46,65.80,66,62.40,59,58.20,48,63.90,219,4,0.00
9/13/2022 13:10,69.20,47,65.70,69,62.30,61,58.10,50,63.80,227,4,0.00
9/13/2022 13:15,69.20,48,65.70,69,62.30,61,58.10,50,63.80,228,4,0.00
