5 Minutes,Lane 1 Speed (mph),Lane 1 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Speed (mph),Flow (Veh/5 Minutes),# Lane Points,% Observed
9/13/2022 0:00,76.50,2,74.00,13,72.00,8,69.20,6,64.50,2,72.10,31,5,100.00
9/13/2022 0:05,76.60,9,74.10,13,71.50,7,69.50,11,64.50,1,72.70,41,5,100.00
9/13/2022 0:10,76.60,7,74.20,13,71.80,13,68.90,9,64.50,1,72.50,43,5,100.00
9/13/2022 0:15,76.60,4,74.10,13,72.30,7,68.10,8,64.50,3,71.80,35,5,100.00
9/13/2022 0:20,76.60,4,74.10,10,72.20,7,68.70,8,64.50,0,72.50,29,5,100.00
9/13/2022 0:25,76.40,6,74.00,13,72.20,8,69.30,9,64.50,0,72.80,36,5,100.00
9/13/2022 0:30,76.40,9,73.90,17,72.20,9,67.30,8,64.50,0,72.80,43,5,100.00
9/13/2022 0:35,76.50,5,73.90,9,72.10,3,68.30,3,64.70,2,72.60,22,5,100.00
9/13/2022 0:40,76.50,4,73.90,9,72.20,4,68.90,3,64.70,0,73.30,20,5,100.00
9/13/2022 0:45,76.50,3,73.20,5,72.30,8,69.10,3,64.70,0,72.70,19,5,100.00
9/13/2022 0:50,76.50,5,73.40,16,72.20,4,69.20,5,64.60,1,72.80,31,5,100.00
9/13/2022 0:55,76.50,3,73.60,12,72.30,5,69.40,2,64.50,2,72.60,24,5,100.00
9/13/2022 1:00,79.70,1,73.90,7,72.30,6,68.80,4,64.60,2,71.80,20,5,100.00
9/13/2022 1:05,78.10,2,74.10,9,72.20,7,69.00,5,64.50,1,72.40,24,5,100.00
9/13/2022 1:10,77.30,7,74.20,10,72.30,3,68.20,4,64.50,0,73.90,24,5,100.00
9/13/2022 1:15,77.00,1,74.00,9,71.60,10,68.70,5,64.50,0,72.10,25,5,100.00
9/13/2022 1:20,76.80,4,74.00,9,71.60,7,68.20,8,64.50,0,72.10,28,5,100.00
