5 Minutes,Lane 1 Speed (mph),Lane 1 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Lane 6 Speed (mph),Lane 6 Flow (Veh/5 Minutes),Speed (mph),Flow (Veh/5 Minutes),# Lane Points,% Observed
9/13/2022 0:00,73.90,9,71.00,22,68.50,9,68.90,7,63.30,6,63.70,0,69.90,53,6,0.00
9/13/2022 0:05,73.80,8,70.90,24,68.40,11,68.90,9,63.20,8,63.60,1,69.40,61,6,0.00
9/13/2022 0:10,73.90,8,71.00,23,68.50,10,68.90,2,63.30,3,63.60,1,70.20,47,6,0.00
9/13/2022 0:15,73.40,10,70.60,23,68.10,10,68.90,2,63.00,7,63.30,1,69.50,53,6,0.00
9/13/2022 0:20,73.70,7,70.80,22,68.40,9,68.90,7,63.20,6,63.50,1,69.50,52,6,0.00
9/13/2022 0:25,74.00,7,71.10,23,68.60,9,68.90,8,63.30,2,63.70,0,70.40,49,6,0.00
9/13/2022 0:30,73.00,7,70.20,22,67.70,9,68.90,9,62.70,1,63.00,0,69.70,48,6,0.00
9/13/2022 0:35,73.50,9,70.60,20,68.10,11,68.90,6,63.00,11,61.70,20,67.10,77,6,0.00
9/13/2022 0:40,73.70,8,70.80,19,68.40,7,68.90,12,63.20,11,61.80,20,67.20,77,6,0.00
9/13/2022 0:45,73.50,6,70.70,19,68.20,7,68.90,9,63.10,5,61.90,21,67.10,67,6,0.00
9/13/2022 0:50,73.70,8,70.80,21,68.30,8,68.90,16,63.20,14,61.90,21,67.10,88,6,0.00
9/13/2022 0:55,73.90,11,70.90,20,68.50,7,68.90,7,63.30,12,61.90,20,67.40,77,6,0.00
9/13/2022 1:00,73.70,8,70.80,21,68.30,8,68.90,6,63.20,10,61.80,21,67.10,74,6,0.00
9/13/2022 1:05,73.90,8,71.00,21,68.50,8,68.90,12,63.30,11,61.80,21,67.30,81,6,0.00
9/13/2022 1:10,73.50,9,70.70,20,68.20,9,68.90,12,63.10,11,61.60,20,67.20,81,6,0.00
9/13/2022 1:15,73.70,7,70.80,20,68.30,8,68.90,6,63.20,6,63.50,1,69.50,48,6,0.00
9/13/2022 1:20,73.40,7,70.60,22,68.10,9,68.90,7,63.00,6,63.30,1,69.30,52,6,0.00
9/13/2022 1:25,73.70,8,70.80,21,68.40,10,68.90,16,63.20,14,61.70,21,67.20,90,6,0.00
9/13/2022 1:30,73.60,8,70.70,21,68.20,8,68.90,10,63.10,10,61.60,21,67.10,78,6,0.00
9/13/2022 1:35,73.80,10,70.90,20,68.40,7,68.90,13,63.20,6,61.70,22,67.50,78,6,0.00
9/13/2022 1:40,73.90,10,71.00,21,68.50,8,68.90,7,63.30,12,61.80,21,67.30,79,6,0.00
9/13/2022 1:45,74.00,9,71.00,20,68.50,7,68.90,12,63.30,11,61.80,21,67.40,80,6,0.00
9/13/2022 1:50,74.00,8,71.10,20,68.60,8,68.90,7,63.40,7,61.90,22,67.40,72,6,0.00
9/13/2022 1:55,74.00,13,71.10,21,68.50,8,68.90,8,63.40,7,61.90,22,67.80,79,6,0.00
