5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
9/13/2022 0:00,14,70.40,55,65.40,22,63.90,13,60.10,104,65.10,4,0.00
9/13/2022 0:05,10,70.40,52,65.40,20,63.90,11,60.10,93,65.00,4,0.00
9/13/2022 0:10,13,70.30,54,65.30,22,63.80,13,60.00,102,64.90,4,0.00
9/13/2022 0:15,9,70.30,51,65.30,19,63.80,10,60.00,89,64.90,4,0.00
9/13/2022 0:20,8,70.40,50,65.40,18,63.90,10,60.10,86,64.90,4,0.00
9/13/2022 0:25,10,70.30,52,65.30,20,63.80,11,60.00,93,64.90,4,0.00
9/13/2022 0:30,9,70.40,51,65.40,19,63.90,10,60.10,89,65.00,4,0.00
9/13/2022 0:35,14,70.30,55,65.30,22,63.80,13,60.00,104,65.00,4,0.00
9/13/2022 0:40,8,70.40,50,65.40,18,63.90,10,60.10,86,64.90,4,0.00
9/13/2022 0:45,9,70.30,51,65.30,19,63.80,10,60.00,89,64.90,4,0.00
9/13/2022 0:50,7,70.40,49,65.40,18,63.90,9,60.10,83,64.90,4,0.00
9/13/2022 0:55,14,70.30,55,65.30,22,63.80,13,60.00,104,65.00,4,0.00
9/13/2022 1:00,7,70.40,49,65.40,18,63.90,9,60.10,83,64.90,4,0.00
9/13/2022 1:05,9,70.40,51,65.40,19,63.90,10,60.10,89,65.00,4,0.00
9/13/2022 1:10,7,70.30,49,65.30,18,63.80,9,60.00,83,64.80,4,0.00
9/13/2022 1:15,8,70.30,50,65.30,18,63.80,10,60.00,86,64.80,4,0.00
9/13/2022 1:20,8,70.30,50,65.30,18,63.80,10,60.00,86,64.80,4,0.00
9/13/2022 1:25,9,70.30,51,65.30,19,63.80,10,60.00,89,64.90,4,0.00
9/13/2022 1:30,8,70.30,50,65.30,18,63.80,10,60.00,86,64.80,4,0.00
9/13/2022 1:35,8,70.30,50,65.30,18,63.80,10,60.00,86,64.80,4,0.00
9/13/2022 1:40,8,70.30,50,65.30,18,63.80,10,60.00,86,64.80,4,0.00
9/13/2022 1:45,7,70.20,49,65.20,18,63.80,9,60.00,83,64.70,4,0.00
9/13/2022 1:50,7,70.20,49,65.20,18,63.80,9,60.00,83,64.70,4,0.00
9/13/2022 1:55,11,70.20,53,65.20,20,63.80,12,60.00,96,64.80,4,0.00
